GAUSSIAN NOISE:
[Squared] Step 3500: Loss = 2.0365, W = 2.7724, b = 1.9838, LR = 0.000001
[Huber] Step 3500: Loss = 0.7591, W = 2.7586, b = 1.9876, LR = 0.000001
[Hybrid] Step 3500: Loss = 1.6074, W = 2.7703, b = 1.9843, LR = 0.000001
[Squared] Step 3600: Loss = 2.0366, W = 2.7724, b = 1.9838, LR = 0.000072
[Huber] Step 3600: Loss = 0.7590, W = 2.7586, b = 1.9876, LR = 0.000059
[Hybrid] Step 3600: Loss = 1.6073, W = 2.7703, b = 1.9843, LR = 0.000001
[Squared] Step 3700: Loss = 2.0366, W = 2.7724, b = 1.9839, LR = 0.000001
[Huber] Step 3700: Loss = 0.7591, W = 2.7586, b = 1.9876, LR = 0.000001
[Hybrid] Step 3700: Loss = 1.6073, W = 2.7703, b = 1.9843, LR = 0.000001
[Squared] Step 3800: Loss = 2.0365, W = 2.7725, b = 1.9839, LR = 0.000012
[Huber] Step 3800: Loss = 0.7590, W = 2.7586, b = 1.9876, LR = 0.000001
[Hybrid] Step 3800: Loss = 1.6074, W = 2.7703, b = 1.9843, LR = 0.000001
[Squared] Step 3900: Loss = 2.0367, W = 2.7725, b = 1.9839, LR = 0.000001
[Huber] Step 3900: Loss = 0.7590, W = 2.7586, b = 1.9876, LR = 0.000001
[Hybrid] Step 3900: Loss = 1.6073, W = 2.7704, b = 1.9844, LR = 0.000006
[Squared] Step 4000: Loss = 2.0366, W = 2.7725, b = 1.9839, LR = 0.000076
[Huber] Step 4000: Loss = 0.7590, W = 2.7586, b = 1.9876, LR = 0.000012
[Hybrid] Step 4000: Loss = 1.6073, W = 2.7704, b = 1.9844, LR = 0.000057
[Squared] Step 4100: Learning rate reduced to 0.000000
[Squared] Step 4100: Loss = 2.0365, W = 2.7725, b = 1.9839, LR = 0.000001
[Huber] Step 4100: Loss = 0.7591, W = 2.7586, b = 1.9877, LR = 0.000010
[Hybrid] Step 4100: Loss = 1.6073, W = 2.7704, b = 1.9844, LR = 0.000005
[Squared] Step 4200: Loss = 2.0366, W = 2.7725, b = 1.9839, LR = 0.000001
[Huber] Step 4200: Loss = 0.7591, W = 2.7587, b = 1.9877, LR = 0.000001
[Hybrid] Step 4200: Loss = 1.6074, W = 2.7704, b = 1.9844, LR = 0.000023
[Squared] Step 4300: Loss = 2.0365, W = 2.7725, b = 1.9840, LR = 0.000001
[Huber] Step 4300: Loss = 0.7591, W = 2.7587, b = 1.9877, LR = 0.000098
[Hybrid] Step 4300: Loss = 1.6073, W = 2.7704, b = 1.9844, LR = 0.000001
[Squared] Step 4400: Loss = 2.0365, W = 2.7725, b = 1.9840, LR = 0.000026
